rental_date,rental_id,asset_id,market_id,rental_revenue,
2017-01-01,1862,2015,3,"1,790.37",
2017-01-01,2056,1176,4,264.23,
2017-01-01,3769,1699,1,313.69,
2017-01-01,4400,4671,3,"2,581.96",
2017-01-01,4430,2014,3,"1,266.12",
2017-01-01,4844,699,1,"2,429.88",
2017-01-01,4860,1995,3,393.98,
2017-01-01,4861,1994,3,393.98,
2017-01-01,4862,2019,3,393.98,
2017-01-01,6237,4175,3,"2,536.92",
2017-01-01,6476,1377,1,"1,329.90",
2017-01-01,6482,1671,1,"1,629.30",
2017-01-01,6521,2386,3,"1,163.19",
2017-01-01,6537,1503,3,238.67,
2017-01-01,6538,2043,3,245.04,
2017-01-01,6561,1733,3,"1,338.96",
2017-01-01,6640,6386,6,"1,871.63",
2017-01-01,6816,2484,3,287.34,
2017-01-01,6884,3527,1,238.56,
2017-01-01,6885,1221,1,240.80,
2017-01-01,6933,828,3,"1,476.28",
2017-01-01,7006,1222,1,281.27,
2017-01-01,7198,3533,1,241.39,
2017-01-01,7199,3566,1,237.54,
2017-01-01,7217,1438,6,"3,147.43",
2017-01-01,7263,2304,3,724.83,
2017-01-01,7514,3109,3,121.71,
2017-01-01,7533,3710,3,"1,488.00",
2017-01-01,7563,3805,6,389.37,
2017-01-01,7574,1737,3,"1,896.88",
2017-01-01,7617,3790,6,391.15,
2017-01-01,7691,3810,6,390.05,
2017-01-01,7693,3796,6,390.05,
2017-01-01,7699,4156,3,674.04,
2017-01-01,7793,4136,3,"2,000.42",
2017-01-01,7811,3170,6,718.96,
2017-01-01,7813,3171,6,718.96,
2017-01-01,7814,3173,6,718.96,
2017-01-01,7856,587,1,237.53,
2017-01-01,7883,3778,6,380.97,
2017-01-01,7920,3808,6,388.50,
2017-01-01,7945,3529,1,238.67,
2017-01-01,7979,3787,6,383.80,
2017-01-01,8002,3797,6,372.47,
2017-01-01,8269,4162,1,92.04,
2017-01-01,8338,4288,4,"1,720.02",
2017-01-01,8355,3868,3,160.47,
2017-01-01,8392,5866,1,"1,446.83",
2017-01-01,8479,4013,8,951.25,
2017-01-01,8480,1909,8,"2,666.09",
2017-01-01,8489,3071,5,297.35,
2017-01-01,8490,3066,5,297.35,
2017-01-01,8533,4096,5,"1,325.43",
2017-01-01,8534,744,5,483.24,
2017-01-01,8599,3995,6,"2,106.00",
2017-01-01,8627,2029,3,149.76,
2017-01-01,8683,3935,5,"1,322.16",
2017-01-01,8756,3996,6,385.98,
2017-01-01,9155,1566,3,"2,567.84",
2017-01-01,9232,3264,3,154.20,
2017-01-01,9272,1899,1,651.00,
2017-01-01,9317,3150,9,411.54,
2017-01-01,9354,4088,5,"1,690.47",
2017-01-01,9424,3911,5,889.80,
2017-01-01,9452,2555,3,47.77,
2017-01-01,9456,2562,3,248.15,
2017-01-01,9534,3610,5,553.59,
2017-01-01,9543,1874,3,"1,960.03",
2017-01-01,9670,7915,3,240.29,
2017-01-01,9671,4049,3,240.29,
2017-01-01,9672,4433,3,242.02,
2017-01-01,9673,4440,3,240.29,
2017-01-01,9871,3839,1,235.57,
2017-01-01,10002,4441,3,244.23,
2017-01-01,10004,3400,3,247.39,
2017-01-01,10005,3402,3,247.39,
2017-01-01,10052,3076,5,262.30,
2017-01-01,10053,3145,5,401.59,
2017-01-01,10074,2086,3,"1,120.57",
2017-01-01,10077,1890,1,293.54,
2017-01-01,10078,3573,1,252.37,
2017-01-01,10243,1491,3,243.94,
2017-01-01,10244,4125,3,246.41,
2017-01-01,10279,3608,5,167.18,
2017-01-01,10371,4601,3,"1,023.35",
2017-01-01,10485,1251,9,504.30,
2017-01-01,10514,4063,9,"2,862.78",
2017-01-01,10553,4631,3,406.18,
2017-01-01,10631,4127,3,263.76,
2017-01-01,10669,1954,3,711.29,
2017-01-01,10719,2109,3,265.82,
2017-01-01,10741,4801,3,"1,785.28",
2017-01-01,10743,3723,3,362.15,
2017-01-01,10803,4541,3,"1,686.05",
2017-01-01,10816,6208,6,"1,855.29",
2017-01-01,10835,3779,8,"2,562.68",
2017-01-01,10839,17885,7329,"2,832.08",
2017-01-01,10843,3713,7329,"2,604.62",
2017-01-01,10844,4240,8,"2,489.54",
2017-01-01,10849,4012,8,"2,607.23",
2017-01-01,10854,3707,3,878.32,
2017-01-01,10858,4290,8,"2,730.29",
2017-01-01,10859,2524,8,"2,735.37",
2017-01-01,10860,2309,8,"1,674.00",
2017-01-01,10862,2351,8,"1,845.70",
2017-01-01,10866,4191,8,"2,738.74",
2017-01-01,10916,3904,5,"1,165.55",
2017-01-01,10974,2688,6,917.39,
2017-01-01,10976,2689,6,"1,098.10",
2017-01-01,11024,3981,6,191.40,
2017-01-01,11096,2303,3,"1,845.89",
2017-01-01,11119,4604,6,"2,362.18",
2017-01-01,11134,1794,3,807.93,
2017-01-01,11137,3503,6,"1,877.39",
2017-01-01,11210,4055,3,256.98,
2017-01-01,11225,3833,1,246.92,
2017-01-01,11298,4663,5,"2,346.21",
2017-01-01,11300,2019,3,340.26,
2017-01-01,11342,3609,6,"1,877.63",
2017-01-01,11377,3504,6,"1,687.15",
2017-01-01,11406,4255,3,305.91,
2017-01-01,11407,4260,3,303.09,
2017-01-01,11408,4258,3,305.91,
2017-01-01,11409,4265,3,303.09,
2017-01-01,11410,4233,3,305.91,
2017-01-01,11421,1565,3,"2,428.60",
2017-01-01,11468,2142,3,"1,827.86",
2017-01-01,11480,1406,3,"2,005.57",
2017-01-01,11508,4644,8,"2,635.46",
2017-01-01,11564,4664,8,"2,621.26",
2017-01-01,11578,3905,5,"2,686.49",
2017-01-01,11646,4044,3,16.00,
2017-01-01,11649,2172,3,"1,313.19",
2017-01-01,11659,4435,3,257.75,
2017-01-01,11662,3567,1,240.65,
2017-01-01,11681,1135,5,267.18,
2017-01-01,11703,3914,5,"2,710.29",
2017-01-01,11725,3271,6,"1,697.70",
2017-01-01,11758,2676,6,743.59,
2017-01-01,11772,4263,3,257.54,
2017-01-01,11789,4193,3,840.00,
2017-01-01,11881,4176,3,"2,972.48",
2017-01-01,11907,4128,3,268.67,
2017-01-01,11913,1698,3,48.84,
2017-01-01,11935,703,1,212.25,
2017-01-01,11963,5993,1,368.86,
2017-01-01,11970,3952,8,"2,052.51",
2017-01-01,11971,3907,8,"2,035.90",
2017-01-01,12000,1927,3,90.14,
2017-01-01,12006,4149,6,"2,645.33",
2017-01-01,12012,4412,8,"2,589.78",
2017-01-01,12027,17747,5,524.38,
2017-01-01,12033,4268,3,259.07,
2017-01-01,12047,2141,3,827.16,
2017-01-01,12075,2533,6,873.19,
2017-01-01,12156,3872,3,99.14,
2017-01-01,12157,3875,3,99.14,
2017-01-01,12159,4442,3,259.43,
2017-01-01,12160,3398,3,250.65,
2017-01-01,12166,2301,3,"1,913.14",
2017-01-01,12208,5322,1,"1,461.31",
2017-01-01,12210,5323,1,"1,413.50",
2017-01-01,12211,5355,1,"1,445.98",
2017-01-01,12214,5321,1,"1,375.85",
2017-01-01,12215,5326,1,"1,434.18",
2017-01-01,12290,2042,3,243.49,
2017-01-01,12291,3267,3,243.49,
2017-01-01,12293,2461,3,208.46,
2017-01-01,12294,821,3,"1,805.79",
2017-01-01,12302,1139,6,326.14,
2017-01-01,12303,1140,6,326.14,
2017-01-01,12306,562,6,326.14,
2017-01-01,12308,555,6,326.14,
2017-01-01,12309,589,6,326.14,
2017-01-01,12321,3414,6,326.14,
2017-01-01,12322,3407,6,326.14,
2017-01-01,12323,3415,6,326.14,
2017-01-01,12326,3708,3,"1,288.83",
2017-01-01,12330,2337,6,"1,747.47",
2017-01-01,12348,1534,3,"2,186.28",
2017-01-01,12413,4042,3,279.00,
2017-01-01,12419,4457,7329,"2,848.69",
2017-01-01,12438,4225,3,"2,884.43",
2017-01-01,12452,3409,3,257.23,
2017-01-01,12461,2361,3,"1,956.93",
2017-01-01,12471,2553,5,288.04,
2017-01-01,12508,3663,6,"2,429.32",
2017-01-01,12511,826,3,"1,769.76",
2017-01-01,12522,3257,3,99.68,
2017-01-01,12541,4126,3,264.54,
2017-01-01,12557,2047,3,250.78,
2017-01-01,12576,1900,3,"2,840.72",
2017-01-01,12577,3417,3,322.65,
2017-01-01,12611,3501,6,"1,780.85",
2017-01-01,12612,1706,3,"1,820.84",
2017-01-01,12619,2520,6,647.50,
2017-01-01,12642,1889,1,301.72,
2017-01-01,12643,691,1,113.14,
2017-01-01,12654,4680,8,"2,064.77",
2017-01-01,12671,3568,1,234.44,
2017-01-01,12681,2535,6,"1,739.51",
2017-01-01,12690,1480,3,80.47,
2017-01-01,12694,3070,5,183.57,
2017-01-01,12706,8170,6,"2,737.57",
2017-01-01,12724,1340,3,"1,873.88",
2017-01-01,12732,2096,3,348.83,
2017-01-01,12733,879,3,239.10,
2017-01-01,12734,1922,3,111.15,
2017-01-01,12774,1700,3,271.03,
2017-01-01,12793,4431,3,298.93,
2017-01-01,12805,4641,6,"1,701.00",
2017-01-01,12828,1891,1,339.34,
2017-01-01,12830,4067,1,"1,960.06",
2017-01-01,12832,3534,1,334.29,
2017-01-01,12842,2694,6,704.40,
2017-01-01,12851,4600,6,978.11,
2017-01-01,12856,4113,1,213.76,
2017-01-01,12871,1931,3,"2,685.97",
2017-01-01,12877,3258,3,237.45,
2017-01-01,12878,2814,3,43.20,
2017-01-01,12883,4470,9,"1,766.00",
2017-01-01,12886,7014,9,272.80,
2017-01-01,12887,5818,9,282.84,
2017-01-01,12888,9831,9,289.33,
2017-01-01,12889,7030,9,272.80,
2017-01-01,12912,3254,3,257.23,
2017-01-01,12913,2573,3,391.79,
2017-01-01,12927,1395,9,"2,485.44",
2017-01-01,12932,4916,5,298.17,
2017-01-01,12996,3910,5,"1,370.38",
2017-01-01,13000,1537,3,"2,950.90",
2017-01-01,13010,611,3,"1,494.15",
2017-01-01,13016,1793,3,320.17,
2017-01-01,13018,4612,9,744.00,
2017-01-01,13022,4611,9,756.09,
2017-01-01,13023,4610,9,756.09,
2017-01-01,13049,4627,3,"2,793.42",
2017-01-01,13050,3840,1,241.94,
2017-01-01,13051,5239,9,"2,363.67",
2017-01-01,13060,5000,1,93.53,
2017-01-01,13079,5157,9,"3,605.54",
2017-01-01,13080,2519,6,"1,681.75",
2017-01-01,13108,3113,6,"1,052.40",
2017-01-01,13110,1708,8,"2,699.40",
2017-01-01,13131,1529,3,"2,593.94",
2017-01-01,13133,3401,3,265.85,
2017-01-01,13134,3399,3,265.85,
2017-01-01,13145,4739,5,"1,229.12",
2017-01-01,13148,1856,5,"1,685.39",
2017-01-01,13149,4662,5,"1,644.63",
2017-01-01,13161,3572,1,232.77,
2017-01-01,13162,1278,1,303.97,
2017-01-01,13163,4224,1,"1,648.58",
2017-01-01,13165,753,1,"1,302.24",
2017-01-01,13177,4073,6,"2,457.64",
2017-01-01,13178,1356,5,"1,252.33",
2017-01-01,13201,1112,3,112.70,
2017-01-01,13210,4158,3,"2,875.12",
2017-01-01,13234,3034,3,704.00,
2017-01-01,13244,4662,9,"1,589.13",
2017-01-01,13250,9943,3,"2,266.88",
2017-01-01,13259,5160,5,293.44,
2017-01-01,13263,4085,5,"2,869.71",
2017-01-01,13302,4784,3,207.26,
2017-01-01,13305,652,1,695.49,
2017-01-01,13317,3736,5,"1,578.34",
2017-01-01,13327,1137,5,33.31,
2017-01-01,13331,3396,3,282.10,
2017-01-01,13350,1498,3,256.92,
2017-01-01,13364,4930,5,204.99,
2017-01-01,13369,3163,5,564.20,
2017-01-01,13373,4065,1,536.00,
2017-01-01,13409,4184,3,899.81,
2017-01-01,13416,582,1,327.89,
2017-01-01,13425,900,1,"1,696.68",
2017-01-01,13440,4720,3,"2,559.36",
2017-01-01,13443,3570,2,271.72,
2017-01-01,13449,2506,3,"1,262.36",
2017-01-01,13450,2014,3,154.66,
2017-01-01,13455,4613,9,722.59,
2017-01-01,13457,4614,9,749.76,
2017-01-01,13468,5753,3,"1,505.03",
2017-01-01,13478,5887,5,"1,642.11",
2017-01-01,13488,3841,1,234.74,
2017-01-01,13503,6194,9,"3,817.41",
2017-01-01,13506,2196,1,"1,569.84",
2017-01-01,13514,2521,6,"1,674.00",
2017-01-01,13516,1926,3,756.68,
2017-01-01,13534,1197,5,646.96,
2017-01-01,13535,1196,5,614.20,
2017-01-01,13539,1651,6,336.00,
2017-01-01,13540,2362,6,336.00,
2017-01-01,13541,2320,6,336.00,
2017-01-01,13570,1816,3,"1,753.71",
2017-01-01,13571,4387,3,"1,753.71",
2017-01-01,13581,5286,5,979.67,
2017-01-01,13583,4252,3,277.06,
2017-01-01,13596,3259,3,448.14,
2017-01-01,13598,4176,3,"2,962.83",
2017-01-01,13609,4083,3,86.40,
2017-01-01,13610,2110,3,182.47,
2017-01-01,13623,2819,6,430.02,
